,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Goals/Shot on target
0,a8c0acb7,Kristoffer Ajer,Brentford,Premier League,196,84,Center Back,Right,Norway,23.67,Kristoffer Ajer - 23.67 - Brentford,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.03,0.03,0.05,0.08,0.32,0.0,0.0,0.0,9.9,0.0,0.09,-0.03,-0.03,21.66,33.29,65.1,383.89,172.51,8.92,10.51,84.8,10.35,14.5,71.4,1.75,5.58,31.4,0.16,1.12,0.32,0.16,1.91,25.96,7.33,0.96,0.0,5.42,0.48,0.48,0.0,0.0,0.0,0.0,14.5,9.4,9.4,1.43,20.55,2.39,6.37,0.16,0.0,0.8,1.27,0.8,0.96,0.64,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.8,1.27,0.16,0.32,1.12,2.23,50.0,1.12,9.08,2.87,31.6,4.62,3.82,0.64,1.43,0.64,0.16,2.07,3.82,5.58,0.0,46.04,5.1,20.39,21.35,7.01,1.43,39.19,0.64,0.96,66.7,0.64,0.0,20.07,123.29,72.0,2.39,0.8,0.0,0.96,0.32,20.23,16.89,83.5,1.12,0.0,0.8,1.59,0.0,0.0,0.0,0.0,8.76,3.35,1.43,70.0,
1,eaeca114,Nathan Aké,Manchester City,Premier League,180,75,Center Back,Left,Netherlands,26.83,Nathan Aké - 26.83 - Manchester City,0.17,0.0,0.17,0.0,0.0,0.09,0.0,0.07,0.07,0.0,0.07,0.7,0.17,25.0,0.25,10.1,0.0,0.1,0.11,0.11,72.94,78.28,93.2,1378.6,401.02,28.34,29.56,95.9,37.35,39.27,95.1,6.91,8.66,79.8,0.0,4.55,0.44,0.0,3.15,76.27,2.01,0.96,0.0,5.16,1.75,0.0,0.0,0.0,0.0,0.0,69.27,3.41,5.6,61.14,12.94,1.22,0.96,0.52,0.0,0.35,0.61,0.61,0.17,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.09,1.57,0.7,0.7,0.79,0.09,0.35,0.52,66.7,0.17,8.48,2.89,34.0,4.2,3.5,0.79,1.22,0.61,0.0,1.66,3.24,3.85,0.0,88.08,7.43,33.67,54.31,8.4,0.87,86.06,0.0,0.09,0.0,0.0,0.0,64.99,356.59,246.65,7.0,1.92,0.0,0.35,0.0,72.07,69.97,97.1,0.17,0.0,1.05,0.52,0.17,0.0,0.09,0.0,6.73,3.41,1.66,67.2,1.0
2,1a4ef233,Daniel Amartey,Leicester City,Premier League,182,76,Center Back,Right,Ghana,27.0,Daniel Amartey - 27.0 - Leicester City,0.11,0.0,0.11,0.0,0.0,0.11,0.0,0.04,0.04,0.01,0.04,0.38,0.16,42.9,0.29,14.9,0.0,0.1,0.07,0.07,57.27,64.31,89.1,1123.8,343.8,18.98,20.4,93.0,30.38,32.89,92.4,7.36,9.27,79.4,0.11,3.55,0.11,0.05,3.22,61.15,3.16,0.55,0.0,5.78,0.82,0.05,0.0,0.0,0.0,0.0,50.56,6.38,7.36,5.02,52.2,2.95,2.62,0.22,0.22,0.16,0.93,1.09,0.82,0.76,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.65,0.71,0.55,0.05,0.6,1.09,55.0,0.49,7.36,2.89,39.3,4.09,2.89,0.38,1.8,0.71,0.05,1.53,2.84,3.93,0.05,74.45,6.93,35.24,38.67,4.53,0.65,71.4,0.22,0.71,30.8,0.22,0.0,50.35,221.56,132.98,3.44,0.71,0.0,0.49,0.33,52.96,51.44,97.1,0.05,0.0,0.71,0.44,0.05,0.0,0.0,0.0,10.53,2.07,1.58,56.7,0.67
3,e34fc66d,Joachim Andersen,Crystal Palace,Premier League,190,75,Center Back,Right,Denmark,25.55,Joachim Andersen - 25.55 - Crystal Palace,0.03,0.06,0.03,0.0,0.0,0.23,0.0,0.04,0.04,0.03,0.07,0.41,0.12,28.6,0.07,13.7,0.03,0.09,-0.01,-0.01,56.03,66.22,84.6,1412.35,414.3,10.89,11.98,91.0,29.84,32.16,92.8,15.0,21.2,70.7,0.41,4.31,0.29,0.06,3.31,63.91,2.31,1.87,0.06,5.33,3.4,0.21,0.03,0.0,0.0,0.03,45.75,5.95,14.53,6.06,54.45,3.49,0.41,0.26,0.21,1.61,0.91,0.59,0.94,0.79,0.03,0.0,0.06,0.0,0.06,0.09,0.06,0.0,0.0,0.03,0.0,0.0,1.32,0.82,0.73,0.44,0.15,0.64,1.14,56.4,0.5,5.89,2.02,34.3,3.63,1.85,0.41,1.03,0.44,0.0,2.08,3.4,7.35,0.09,78.49,13.15,46.48,34.27,2.9,0.85,76.23,0.18,0.23,75.0,0.18,0.0,48.41,296.74,153.52,2.37,0.32,0.0,0.21,0.23,53.95,53.13,98.5,0.09,0.0,1.17,0.38,0.03,0.0,0.0,0.0,10.05,3.57,1.52,70.1,0.25
4,53cad200,César Azpilicueta,Chelsea,Premier League,178,76,Center Back,Right,Spain,32.31,César Azpilicueta - 32.31 - Chelsea,0.02,0.1,0.02,0.0,0.0,0.12,0.02,0.04,0.04,0.1,0.14,0.41,0.12,29.4,0.06,14.0,0.0,0.09,-0.01,-0.01,65.8,76.74,85.7,1112.03,407.42,30.58,32.87,93.0,30.58,33.77,90.6,3.96,7.73,51.3,0.89,4.71,1.06,0.19,4.76,70.02,6.72,1.5,0.1,6.14,0.36,1.35,0.0,0.0,0.0,0.0,56.67,9.73,10.34,6.18,60.85,2.92,5.22,0.24,0.22,0.87,1.76,1.47,1.67,1.57,0.02,0.02,0.02,0.0,0.02,0.27,0.22,0.0,0.02,0.02,0.0,0.0,2.15,1.16,1.09,0.77,0.29,0.89,1.64,54.4,0.75,14.13,4.06,28.7,6.14,5.87,2.13,1.88,0.41,0.0,1.57,3.72,3.62,0.0,86.98,5.51,28.89,41.33,20.53,1.84,80.48,0.34,0.43,77.8,0.34,0.0,51.76,215.87,130.89,5.0,1.45,0.07,0.46,0.43,64.44,61.16,94.9,1.81,0.0,1.26,0.63,0.12,0.0,0.0,0.0,8.48,2.44,1.74,58.4,0.2
5,a1232f4e,Eric Bailly,Manchester Utd,Premier League,187,77,Center Back,Right,C&#244;te d'Ivoire,27.68,Eric Bailly - 27.68 - Manchester Utd,0.0,0.06,0.0,0.0,0.0,0.22,0.0,0.01,0.01,0.01,0.02,0.22,0.0,0.0,0.0,16.3,0.0,0.04,-0.01,-0.01,46.74,51.29,91.1,1022.4,302.68,11.41,12.13,94.1,27.25,28.91,94.3,7.86,9.86,79.8,0.11,2.71,0.06,0.0,2.55,49.96,1.33,1.11,0.0,3.38,1.16,0.0,0.0,0.0,0.0,0.0,42.26,3.71,5.32,6.2,41.87,1.83,0.22,0.33,0.06,0.28,0.61,0.89,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,1.44,0.83,0.89,0.5,0.06,0.39,0.55,70.0,0.17,6.81,3.05,44.7,3.54,2.94,0.33,1.88,1.0,0.0,2.22,3.66,4.87,0.06,62.03,10.74,35.61,29.35,1.11,0.22,60.81,0.5,0.72,69.2,0.5,0.0,39.77,248.4,130.1,2.82,0.33,0.0,0.22,0.17,41.48,40.93,98.7,0.0,0.0,1.33,0.5,0.0,0.0,0.0,0.06,8.14,2.33,1.27,64.6,
6,4115ce4e,Jan Bednarek,Southampton,Premier League,190,77,Center Back,Right,Poland,25.68,Jan Bednarek - 25.68 - Southampton,0.03,0.0,0.03,0.0,0.0,0.22,0.03,0.03,0.03,0.01,0.04,0.31,0.09,30.0,0.1,8.7,0.0,0.11,0.0,0.0,43.61,52.26,83.5,856.36,278.74,15.32,16.62,92.2,22.79,25.17,90.6,5.07,9.64,52.6,0.15,2.29,0.09,0.0,2.07,49.26,3.0,1.54,0.03,6.58,0.86,0.06,0.0,0.0,0.0,0.0,36.2,5.28,10.78,8.18,37.4,3.64,1.42,0.03,0.09,1.14,0.62,0.86,0.49,0.4,0.03,0.0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.58,0.9,0.96,0.59,0.03,0.77,1.79,43.1,1.02,8.68,2.84,32.7,4.85,3.46,0.37,1.79,0.93,0.03,2.87,4.45,6.55,0.0,65.14,8.49,34.81,31.32,1.95,0.59,62.3,0.03,0.09,33.3,0.03,0.0,34.56,163.51,82.31,1.76,0.12,0.0,0.15,0.12,38.7,37.53,97.0,0.19,0.0,1.11,0.43,0.0,0.0,0.0,0.03,10.47,3.49,1.79,66.1,0.33
7,89e4b358,Craig Cathcart,Watford,Premier League,188,77,Center Back,Right,Northern Ireland,32.87,Craig Cathcart - 32.87 - Watford,0.0,0.08,0.0,0.0,0.0,0.23,0.0,0.01,0.01,0.0,0.01,0.08,0.0,0.0,0.0,8.0,0.0,0.05,-0.01,-0.01,26.48,34.17,77.5,621.17,187.09,6.79,7.54,90.0,13.28,16.07,82.6,6.34,9.88,64.1,0.0,1.89,0.23,0.08,1.81,31.08,3.09,0.45,0.0,4.3,1.51,0.15,0.0,0.0,0.0,0.0,18.41,4.6,11.17,6.79,20.07,3.17,2.64,0.0,0.15,0.68,0.6,1.06,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.53,0.75,0.15,0.0,0.3,1.06,28.6,0.75,6.71,2.26,33.7,4.45,2.04,0.23,2.19,1.13,0.0,1.51,2.41,4.83,0.08,43.53,8.15,23.01,18.71,3.09,0.3,40.51,0.0,0.0,,0.0,0.0,18.78,77.4,34.17,0.45,0.15,0.0,0.0,0.08,21.2,20.14,95.0,0.0,0.0,0.83,0.3,0.0,0.0,0.0,0.0,9.81,2.72,1.51,64.3,
8,5515376c,Trevoh Chalobah,Chelsea,Premier League,190,75,Center Back,Right,England,22.46,Trevoh Chalobah - 22.46 - Chelsea,0.19,0.07,0.19,0.0,0.0,0.22,0.0,0.09,0.09,0.03,0.12,0.64,0.22,35.3,0.29,14.1,0.0,0.14,0.1,0.1,49.9,56.46,88.4,953.24,271.95,19.54,21.15,92.4,23.51,25.53,92.1,6.4,8.72,73.4,0.11,4.31,0.19,0.0,2.73,54.1,2.36,1.57,0.11,4.75,0.67,0.34,0.0,0.0,0.0,0.0,45.37,5.43,5.65,4.04,48.0,2.55,0.79,0.11,0.11,0.71,1.31,0.64,0.71,0.52,0.11,0.0,0.0,0.04,0.04,0.07,0.07,0.0,0.0,0.0,0.0,0.0,2.02,1.01,1.16,0.67,0.19,0.82,1.39,59.5,0.56,8.72,3.07,35.2,4.04,3.97,0.71,1.01,0.37,0.04,2.55,4.57,3.97,0.0,67.69,3.63,24.71,39.42,8.35,0.97,65.63,0.9,1.12,80.0,1.01,0.0,46.01,207.29,115.79,3.74,1.31,0.04,0.67,0.64,47.43,45.97,96.9,0.64,0.0,1.01,1.09,0.0,0.0,0.0,0.0,8.72,1.8,1.65,52.2,0.83
9,1cb49278,Andreas Christensen,Chelsea,Premier League,188,74,Center Back,Right,Denmark,25.69,Andreas Christensen - 25.69 - Chelsea,0.03,0.03,0.03,0.0,0.0,0.13,0.0,0.02,0.02,0.04,0.06,0.29,0.06,22.2,0.11,21.4,0.0,0.06,0.02,0.02,67.15,72.77,92.3,1354.44,387.03,22.56,23.74,95.0,33.73,35.87,94.0,10.02,12.03,83.3,0.35,4.69,0.38,0.0,3.48,70.69,2.07,1.6,0.0,7.09,0.99,0.06,0.0,0.0,0.0,0.0,61.31,4.21,7.24,4.79,63.64,2.49,0.41,0.16,0.1,0.57,0.89,0.93,0.67,0.61,0.0,0.03,0.03,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.09,0.7,0.54,0.35,0.19,0.32,0.8,40.0,0.48,8.04,2.84,35.3,4.21,3.22,0.61,1.53,0.61,0.0,2.43,3.51,5.2,0.03,82.76,10.09,39.67,44.2,4.05,0.38,80.81,0.19,0.22,85.7,0.22,0.0,56.36,273.67,155.36,4.6,1.09,0.0,0.13,0.1,61.18,60.06,98.2,0.16,0.0,1.12,0.73,0.0,0.0,0.0,0.0,8.94,3.16,1.91,62.3,0.5
