,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won
0,f2bf1b0f,Che Adams,Southampton,Premier League,175,76,Forward,Right,Scotland,25.44,Che Adams - 25.44 - Southampton,0.31,0.08,0.31,0.0,0.0,0.0,0.0,0.31,0.31,0.13,0.43,1.97,1.12,56.9,0.16,0.28,13.1,0.0,0.15,0.0,0.0,13.89,20.31,68.4,219.04,45.77,7.85,10.29,76.3,4.14,5.65,73.3,1.24,2.13,58.2,1.01,0.66,0.81,0.12,1.78,19.89,0.43,0.0,0.19,5.69,0.35,0.46,0.0,0.0,0.0,0.0,13.12,3.99,3.21,1.16,15.71,1.2,0.0,0.7,0.15,0.31,1.2,1.01,2.28,1.59,0.0,0.04,0.12,0.39,0.15,0.19,0.12,0.0,0.0,0.0,0.04,0.04,0.93,0.62,0.15,0.31,0.46,0.19,0.58,33.3,0.39,15.09,4.45,29.5,1.51,5.8,7.78,1.28,0.27,0.0,0.58,1.51,0.66,0.04,32.93,1.16,4.29,14.66,16.06,4.18,32.5,0.7,1.43,48.6,0.89,0.0,21.05,89.38,42.41,2.13,0.93,0.43,2.32,1.78,47.32,23.1,48.8,5.88,0.0,1.24,2.63,0.5,0.0,0.0,0.0,4.6,2.01,4.84,29.4
1,b827d5b3,Marc Albrighton,Leicester City,Premier League,175,67,Att Mid / Wing,Right,England,32.09,Marc Albrighton - 32.09 - Leicester City,0.11,0.27,0.11,0.0,0.0,0.16,0.0,0.06,0.06,0.2,0.26,1.01,0.48,47.4,0.11,0.22,21.0,0.0,0.06,0.05,0.05,28.71,43.7,65.7,529.26,221.36,14.19,16.9,84.0,9.46,12.65,74.8,4.2,10.69,39.3,1.81,2.34,1.81,0.74,3.77,37.69,6.01,0.58,0.16,7.5,1.91,3.19,2.34,0.8,0.9,0.21,22.97,9.46,11.27,3.03,35.78,1.06,3.03,0.11,0.27,0.85,1.65,1.65,3.19,2.29,0.37,0.11,0.0,0.11,0.32,0.48,0.32,0.11,0.0,0.0,0.0,0.05,2.76,1.7,0.85,1.33,0.58,1.06,3.03,35.1,1.97,20.95,6.54,31.2,6.38,10.05,4.52,1.75,0.11,0.0,1.54,4.31,1.01,0.0,55.71,2.07,11.38,24.03,23.39,1.91,49.81,1.38,2.87,48.1,1.54,0.21,35.14,173.62,80.38,3.93,1.12,0.43,1.22,1.97,44.34,33.17,74.8,3.93,0.0,1.12,0.85,0.16,0.0,0.0,0.0,8.67,0.9,1.28,41.5
2,cea4ee8f,Dele Alli,Tottenham,Premier League,188,76,Att Mid / Wing,Right,England,25.69,Dele Alli - 25.69 - Tottenham,0.13,0.19,0.06,0.06,0.06,0.13,0.0,0.18,0.13,0.19,0.32,1.2,0.57,47.4,0.05,0.11,15.9,0.0,0.11,-0.05,-0.06,32.06,40.14,79.9,532.43,120.86,16.54,19.06,86.8,12.18,14.33,85.0,2.65,4.73,56.0,1.01,1.83,1.01,0.13,3.35,37.68,2.46,0.95,0.19,8.58,0.63,0.82,0.0,0.0,0.0,0.0,30.23,5.49,4.42,2.27,35.22,1.2,0.44,0.32,0.19,0.57,1.39,2.21,2.52,2.02,0.0,0.06,0.13,0.25,0.06,0.44,0.32,0.0,0.0,0.06,0.06,0.0,2.4,1.51,1.14,1.01,0.25,0.63,2.46,25.6,1.83,26.76,7.38,27.6,7.51,12.56,6.69,2.59,0.38,0.0,1.7,4.1,1.01,0.0,55.35,2.15,9.59,30.55,18.93,3.41,53.2,1.14,2.84,40.0,1.39,0.38,38.06,170.66,85.14,4.1,1.77,0.32,1.77,2.84,48.22,37.17,77.1,5.74,0.0,1.96,2.02,0.25,0.06,0.0,0.0,7.83,1.26,1.77,41.7
3,862a1c15,Miguel Almirón,Newcastle Utd,Premier League,174,70,Att Mid / Wing,Left,Paraguay,27.85,Miguel Almirón - 27.85 - Newcastle Utd,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.08,0.18,1.29,0.33,25.6,0.08,0.3,19.3,0.03,0.08,0.0,0.0,23.13,29.04,79.7,389.57,84.72,11.71,13.34,87.8,8.56,10.32,83.0,2.16,3.42,63.1,1.0,1.66,0.76,0.2,2.09,28.04,1.0,0.2,0.07,5.14,0.56,1.13,0.1,0.0,0.03,0.0,22.3,3.45,3.29,26.35,1.36,0.6,0.23,0.2,0.07,0.33,0.9,0.93,2.52,1.79,0.03,0.17,0.3,0.13,0.1,0.17,0.13,0.0,0.0,0.03,0.0,0.0,2.09,1.26,1.1,0.8,0.2,0.7,2.26,30.9,1.56,19.58,4.65,23.7,6.57,8.23,4.78,1.1,0.17,0.1,1.16,3.25,0.76,0.0,40.49,1.33,9.06,17.99,17.79,2.12,39.52,1.13,2.22,50.7,1.29,0.13,31.19,218.69,111.34,4.71,1.76,0.33,1.49,1.76,36.5,26.48,72.5,3.45,0.0,1.03,1.66,0.27,0.0,0.0,0.0,6.94,0.4,0.93,30.0
4,ac05f970,Michail Antonio,West Ham,Premier League,180,82,Forward,Right,Jamaica,31.72,Michail Antonio - 31.72 - West Ham,0.41,0.29,0.41,0.0,0.03,0.2,0.03,0.44,0.43,0.2,0.64,2.71,0.79,29.0,0.15,0.52,13.7,0.0,0.16,-0.03,-0.02,15.36,23.06,66.6,239.49,44.96,8.87,11.85,74.9,4.44,6.45,68.8,1.37,2.36,58.0,1.49,0.73,0.85,0.32,1.17,22.51,0.55,0.0,0.15,7.36,0.79,1.55,0.0,0.0,0.0,0.0,13.95,5.08,4.03,3.71,15.79,1.2,0.15,0.32,0.18,0.44,0.99,0.82,3.3,2.04,0.0,0.35,0.29,0.47,0.15,0.61,0.32,0.0,0.03,0.15,0.06,0.06,0.91,0.61,0.15,0.35,0.41,0.18,0.38,46.2,0.2,12.49,3.42,27.3,1.14,4.7,6.66,1.02,0.2,0.0,0.44,1.34,0.32,0.0,37.72,0.53,2.28,15.38,22.86,6.01,37.1,1.63,3.18,51.4,1.93,0.18,27.29,136.3,83.26,4.7,1.4,1.23,3.74,2.74,55.82,29.31,52.5,8.41,0.03,1.52,1.87,0.55,0.03,0.0,0.0,4.26,2.48,4.79,34.1
5,68c720b5,Adam Armstrong,Southampton,Premier League,172,70,Forward,Right,England,24.85,Adam Armstrong - 24.85 - Southampton,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.31,0.31,0.14,0.46,3.31,1.07,32.5,0.05,0.15,17.6,0.0,0.1,-0.15,-0.15,12.89,18.76,68.7,222.31,34.63,5.7,7.69,74.2,6.03,8.02,75.3,0.83,1.74,47.6,0.99,0.83,0.91,0.0,1.65,16.78,1.98,0.0,0.08,3.72,0.5,1.49,0.0,0.0,0.0,0.0,12.73,3.22,2.81,3.47,13.47,0.83,0.17,0.25,0.08,0.17,0.83,0.41,2.15,1.24,0.0,0.33,0.33,0.25,0.0,0.25,0.17,0.0,0.0,0.0,0.08,0.0,0.66,0.41,0.17,0.25,0.25,0.0,0.25,0.0,0.25,13.72,3.72,27.1,0.99,5.04,7.69,0.5,0.08,0.0,0.33,0.99,0.25,0.0,29.42,0.17,2.23,11.9,17.6,5.04,27.44,1.16,2.31,50.0,1.24,0.08,20.74,120.91,70.0,4.46,1.24,1.16,1.74,1.65,40.0,20.74,51.9,7.02,0.0,0.91,0.66,0.0,0.08,0.0,0.0,3.8,0.66,2.31,22.2
6,97333cf5,Stuart Armstrong,Southampton,Premier League,183,68,Att Mid / Wing,Right,Scotland,29.72,Stuart Armstrong - 29.72 - Southampton,0.09,0.14,0.09,0.0,0.0,0.14,0.0,0.11,0.11,0.09,0.2,1.84,0.41,22.5,0.05,0.22,21.0,0.0,0.06,-0.01,-0.01,32.88,41.53,79.2,575.41,159.63,15.41,18.53,83.1,13.61,15.54,87.6,3.22,4.92,65.4,1.29,2.99,1.43,0.05,3.91,38.86,2.67,0.55,0.23,8.74,0.97,0.83,0.05,0.0,0.0,0.0,31.41,5.7,4.41,7.31,32.1,1.2,0.51,0.09,0.05,0.51,1.84,0.74,3.13,2.12,0.14,0.23,0.23,0.28,0.14,0.41,0.14,0.0,0.05,0.14,0.09,0.0,1.89,0.92,0.83,0.74,0.32,1.06,2.58,41.1,1.52,15.27,4.28,28.0,5.66,6.16,3.45,0.74,0.0,0.0,1.06,2.94,0.69,0.05,53.94,1.7,10.12,31.23,18.58,2.07,51.46,2.02,3.31,61.1,2.16,0.05,39.46,265.4,153.28,6.07,2.44,0.32,1.43,2.16,43.97,36.84,83.8,3.36,0.0,0.92,1.75,0.14,0.0,0.0,0.0,9.2,0.37,0.87,29.6
7,d5dd5f1f,Pierre Emerick Aubameyang,Arsenal,Premier League,187,80,Forward,Right,Gabon,32.5,Pierre Emerick Aubameyang - 32.5 - Arsenal,0.44,0.14,0.41,0.03,0.1,0.14,0.0,0.57,0.49,0.09,0.58,2.79,1.09,39.0,0.15,0.38,12.7,0.03,0.18,-0.13,-0.08,16.07,21.72,74.0,239.6,45.1,9.26,11.68,79.3,5.17,7.08,73.1,0.95,1.33,71.8,0.65,0.75,0.78,0.1,1.4,20.93,0.78,0.03,0.1,5.17,0.34,1.09,0.0,0.0,0.0,0.0,14.98,3.61,3.13,2.48,17.5,0.54,0.03,0.2,0.27,0.1,0.65,1.16,1.7,1.16,0.0,0.17,0.27,0.1,0.0,0.27,0.2,0.0,0.03,0.03,0.0,0.0,0.68,0.31,0.34,0.24,0.1,0.1,0.65,15.8,0.54,15.83,3.95,24.9,2.04,6.47,7.32,1.33,0.17,0.0,0.24,0.92,0.48,0.0,31.18,0.71,3.88,12.76,16.41,5.24,30.26,0.34,1.02,33.3,0.37,0.0,18.52,112.57,67.3,3.17,1.09,1.16,1.36,0.48,43.77,23.25,53.1,6.3,0.0,1.19,0.78,0.78,0.0,0.0,0.0,3.2,1.63,2.83,36.6
8,da052c14,Jordan Ayew,Crystal Palace,Premier League,182,81,Att Mid / Wing,Right,Ghana,30.28,Jordan Ayew - 30.28 - Crystal Palace,0.04,0.18,0.04,0.0,0.0,0.18,0.0,0.11,0.11,0.07,0.18,1.4,0.33,23.7,0.03,0.11,17.8,0.04,0.08,-0.08,-0.08,24.56,31.65,77.6,349.22,64.26,14.88,16.91,88.0,7.39,9.34,79.1,1.18,2.84,41.6,0.89,0.7,0.7,0.11,1.74,31.24,0.41,0.11,0.04,6.39,0.55,1.59,0.0,0.0,0.0,0.0,23.89,4.21,3.55,1.55,27.4,1.18,0.18,0.3,0.07,0.55,1.07,1.62,1.85,1.33,0.0,0.04,0.11,0.26,0.11,0.3,0.22,0.0,0.0,0.0,0.04,0.04,2.44,1.48,0.59,1.29,0.55,0.7,1.92,36.5,1.22,27.22,6.28,23.1,6.87,13.22,7.13,1.77,0.15,0.0,1.37,3.8,0.41,0.0,48.86,0.85,7.35,26.0,20.16,3.1,48.53,1.99,3.99,50.0,2.11,0.26,37.0,218.52,120.06,5.1,1.88,0.85,2.62,3.18,49.23,34.35,69.8,4.58,0.0,2.14,3.32,0.0,0.0,0.0,0.0,6.68,1.22,3.14,28.0
9,3a233281,Leon Bailey,Aston Villa,Premier League,181,70,Att Mid / Wing,Left,Jamaica,24.36,Leon Bailey - 24.36 - Aston Villa,0.29,0.29,0.29,0.0,0.0,0.24,0.0,0.27,0.27,0.23,0.5,2.49,1.07,43.1,0.12,0.27,19.2,0.29,0.11,0.02,0.02,26.07,37.23,70.0,481.04,115.73,13.11,15.45,84.9,8.04,11.35,70.8,4.19,8.09,51.8,1.85,0.97,1.41,0.49,2.87,33.57,3.65,0.49,0.19,6.53,2.49,3.56,2.05,0.93,0.73,0.0,22.8,6.24,8.19,26.61,7.89,1.02,1.07,0.1,0.05,0.49,1.46,0.54,3.61,2.14,0.44,0.39,0.24,0.39,0.0,0.44,0.34,0.0,0.1,0.0,0.0,0.0,1.36,0.78,0.39,0.54,0.44,0.19,0.78,25.0,0.58,10.82,3.26,30.2,1.8,4.48,4.53,0.63,0.1,0.0,0.83,2.19,0.54,0.0,51.41,0.44,4.97,21.34,30.5,4.73,47.61,3.75,5.99,62.6,3.9,0.1,40.69,244.42,138.97,7.21,2.24,1.56,2.49,2.39,49.75,36.4,73.2,7.55,0.0,0.83,2.14,0.54,0.0,0.0,0.0,7.16,1.02,1.71,37.5
