,player_id,name,height_cm,weight_kg,position,foot,club,league,country,age,PD_Info,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won
0,774cf58b,Max Aarons,172,66,Fullback,Right,Norwich City,Premier League,England,-1982.34,Max Aarons - -1982.34 - Norwich City,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.02,0.02,0.08,0.1,0.78,0.11,14.3,0.0,0.0,22.7,0.0,0.03,-0.02,-0.02,33.56,43.0,78.0,555.33,179.78,18.44,20.11,91.7,11.89,14.67,81.1,2.78,6.33,43.9,0.89,1.11,1.56,0.44,2.89,32.33,10.67,0.78,0.11,5.11,0.78,1.56,0.0,0.0,0.0,0.0,25.67,10.0,7.33,4.33,27.78,0.44,9.89,0.11,0.22,0.56,1.33,2.11,1.67,1.33,0.0,0.11,0.11,0.11,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,1.33,0.89,0.78,0.56,0.0,0.89,2.0,44.4,1.11,11.89,3.0,25.2,6.89,3.78,1.22,2.78,0.67,0.0,1.0,2.33,2.33,0.0,55.78,4.78,21.67,24.44,13.22,0.78,45.44,1.56,3.22,48.3,1.67,0.11,33.78,193.33,125.22,4.89,1.56,0.22,0.89,0.78,37.67,32.56,86.4,1.56,0.0,1.0,2.0,0.0,0.0,0.0,0.11,5.22,0.44,1.78,20.0
1,9b398aea,Rayan Aït Nouri,179,70,Fullback,Left,Wolves,Premier League,France,-1983.75,Rayan Aït Nouri - -1983.75 - Wolves,0.06,0.06,0.06,0.0,0.0,0.06,0.0,0.04,0.04,0.06,0.1,1.09,0.42,38.9,0.06,0.14,19.1,0.0,0.04,0.02,0.02,41.41,49.73,83.3,681.9,200.56,20.74,22.61,91.7,17.42,19.77,88.1,2.59,5.06,51.2,0.78,1.87,0.9,0.3,2.95,40.93,8.8,0.48,0.0,5.18,0.72,1.81,0.42,0.06,0.18,0.18,32.25,10.61,6.87,35.63,4.22,1.45,7.9,0.12,0.06,0.3,0.96,1.75,1.99,1.21,0.18,0.48,0.0,0.06,0.06,0.12,0.06,0.0,0.06,0.0,0.0,0.0,2.17,1.27,1.15,0.84,0.18,0.84,1.75,48.3,0.9,15.85,4.88,30.8,8.44,4.94,2.47,1.75,0.0,0.0,1.02,3.19,2.53,0.0,62.99,2.83,17.12,29.54,20.56,1.93,54.31,2.41,3.98,60.6,2.47,0.18,41.17,200.56,132.38,6.15,1.99,0.84,1.45,1.45,42.14,38.58,91.6,2.05,0.0,1.09,1.39,0.06,0.0,0.06,0.0,7.66,0.9,1.27,41.7
2,cd1acf9d,Trent Alexander Arnold,175,69,Fullback,Right,Liverpool,Premier League,England,-1981.08,Trent Alexander Arnold - -1981.08 - Liverpool,0.05,0.25,0.05,0.0,0.0,0.07,0.0,0.07,0.07,0.31,0.38,1.43,0.3,21.0,0.03,0.15,22.6,0.35,0.05,-0.03,-0.03,65.74,87.5,75.1,1398.77,577.42,24.81,28.0,88.6,27.59,33.11,83.3,12.74,23.86,53.4,2.47,6.52,2.96,0.88,8.51,73.35,14.15,1.73,0.44,7.15,5.04,5.09,3.49,0.51,2.2,0.07,48.26,15.24,24.0,9.62,66.64,1.85,8.93,0.28,0.42,1.32,2.06,1.16,3.95,2.52,1.09,0.19,0.16,0.0,0.0,0.49,0.39,0.07,0.0,0.02,0.0,0.0,1.71,1.13,0.86,0.6,0.25,1.02,2.06,49.4,1.04,9.18,3.26,35.5,3.75,3.14,2.29,1.27,0.12,0.0,1.92,3.63,1.94,0.07,97.01,2.61,22.34,45.65,35.03,2.57,82.79,1.02,1.85,55.0,1.06,0.16,61.03,264.38,158.86,6.57,2.27,0.69,0.67,0.65,68.24,64.63,94.7,3.51,0.0,0.67,0.37,0.19,0.0,0.02,0.0,9.78,0.39,0.69,36.2
3,f4290206,Marcos Alonso,188,85,Fullback,Left,Chelsea,Premier League,Spain,-1973.31,Marcos Alonso - -1973.31 - Chelsea,0.17,0.06,0.17,0.0,0.0,0.22,0.0,0.15,0.15,0.13,0.28,1.85,0.73,39.4,0.09,0.23,17.2,0.39,0.08,0.02,0.02,43.99,54.27,81.1,768.09,263.82,20.96,23.03,91.0,18.2,21.57,84.4,4.16,7.25,57.4,1.57,2.02,1.01,0.56,3.71,44.38,9.89,0.96,0.06,8.37,1.12,2.53,1.52,0.79,0.45,0.06,34.1,10.56,9.61,39.66,4.61,1.24,7.42,0.17,0.22,0.79,1.29,1.97,2.92,1.97,0.51,0.0,0.34,0.06,0.06,0.17,0.06,0.06,0.0,0.06,0.0,0.0,1.63,0.96,0.79,0.45,0.39,0.51,1.63,31.0,1.12,13.15,3.31,25.2,4.78,4.94,3.43,2.02,0.06,0.0,1.46,3.09,2.75,0.0,67.47,3.09,15.79,25.56,29.44,3.93,57.42,0.67,1.46,46.2,0.67,0.0,39.27,188.15,102.75,5.9,1.4,0.73,0.67,1.35,48.54,41.12,84.7,5.0,0.0,1.69,1.57,0.11,0.0,0.0,0.0,6.91,2.13,1.46,59.4
4,53cad200,César Azpilicueta,178,76,Fullback,Right,Chelsea,Premier League,Spain,-1971.98,César Azpilicueta - -1971.98 - Chelsea,0.02,0.1,0.02,0.0,0.0,0.15,0.02,0.03,0.03,0.11,0.14,0.37,0.1,26.7,0.07,0.25,13.1,0.0,0.09,-0.01,-0.01,65.26,75.79,86.1,1106.33,416.03,30.24,32.42,93.3,29.97,33.18,90.3,4.27,7.9,54.0,0.96,4.34,1.08,0.22,4.66,68.18,7.61,1.52,0.1,5.64,0.44,1.3,0.0,0.0,0.0,0.0,54.81,10.46,10.53,6.11,59.0,3.02,6.09,0.27,0.22,0.88,1.64,1.35,1.77,1.67,0.02,0.02,0.02,0.0,0.02,0.29,0.25,0.0,0.02,0.02,0.0,0.0,2.38,1.28,1.1,0.91,0.37,0.88,1.74,50.7,0.86,14.48,4.3,29.7,6.09,6.18,2.21,1.77,0.42,0.0,1.52,3.9,3.76,0.02,86.24,5.77,29.28,40.18,20.15,1.67,78.88,0.37,0.54,68.2,0.37,0.02,50.49,199.71,118.79,4.37,1.37,0.1,0.42,0.39,62.98,59.52,94.5,1.74,0.0,1.33,0.71,0.12,0.0,0.0,0.0,8.34,2.43,1.94,55.6
5,01226327,Ryan Bertrand,179,85,Fullback,Left,Leicester City,Premier League,England,-1971.92,Ryan Bertrand - -1971.92 - Leicester City,0.0,0.04,0.0,0.0,0.0,0.18,0.0,0.01,0.01,0.04,0.05,0.25,0.07,28.6,0.0,0.0,20.5,0.0,0.05,-0.01,-0.01,38.11,49.62,76.8,630.51,243.66,18.98,21.33,89.0,15.7,19.92,78.8,2.49,5.92,42.1,0.36,2.24,0.76,0.18,2.92,38.07,11.55,1.62,0.04,5.92,0.79,1.66,0.58,0.29,0.18,0.04,29.05,9.67,10.9,34.61,2.74,2.17,9.35,0.22,0.25,0.87,1.41,1.59,1.01,0.65,0.29,0.0,0.0,0.04,0.04,0.11,0.07,0.0,0.0,0.0,0.0,0.04,2.38,1.3,0.87,1.26,0.25,0.94,1.66,56.5,0.72,12.41,4.44,35.8,5.3,5.05,2.06,1.8,0.22,0.0,1.05,3.43,2.06,0.04,58.82,2.85,16.82,28.29,16.78,1.41,47.96,0.07,0.14,50.0,0.11,0.04,30.31,150.95,83.58,3.93,1.23,0.32,0.72,0.47,38.4,32.8,85.4,2.02,0.0,1.05,1.12,0.11,0.0,0.04,0.0,6.39,0.97,1.59,38.0
6,bd6351cd,João Cancelo,182,66,Fullback,Right,Manchester City,Premier League,Portugal,-1976.73,João Cancelo - -1976.73 - Manchester City,0.12,0.1,0.12,0.0,0.0,0.22,0.02,0.1,0.1,0.17,0.27,1.5,0.53,35.5,0.08,0.23,21.8,0.02,0.07,0.02,0.02,72.63,84.94,85.5,1296.11,378.51,34.73,37.71,92.1,28.98,33.15,87.4,8.09,11.7,69.2,1.41,6.23,2.62,0.44,6.66,75.36,9.57,1.58,0.34,8.48,1.91,2.64,0.05,0.02,0.0,0.0,58.4,13.91,12.63,9.55,64.05,2.08,7.95,0.27,0.41,0.92,2.25,1.45,2.76,2.23,0.17,0.19,0.12,0.02,0.02,0.36,0.24,0.02,0.0,0.07,0.02,0.0,2.69,1.62,1.45,0.95,0.29,1.31,3.03,43.2,1.72,12.07,4.1,33.9,4.65,4.7,2.71,1.58,0.12,0.0,2.42,5.11,1.55,0.02,97.03,2.62,18.54,51.93,32.5,2.84,87.72,2.04,3.59,56.8,2.16,0.39,67.08,293.99,156.83,8.14,2.74,0.87,0.92,1.07,71.34,68.51,96.0,3.0,0.0,1.41,0.73,0.07,0.0,0.0,0.0,9.96,1.6,1.16,57.9
7,1137759d,Sergi Canós,175,70,Fullback,Right,Brentford,Premier League,Spain,-1979.41,Sergi Canós - -1979.41 - Brentford,0.12,0.0,0.12,0.0,0.0,0.37,0.0,0.06,0.06,0.1,0.16,0.85,0.37,42.9,0.14,0.33,18.1,0.0,0.07,0.06,0.06,17.32,30.37,57.0,340.12,175.24,7.56,9.88,76.5,6.59,9.39,70.1,2.8,8.54,32.9,0.73,1.46,1.46,0.49,3.54,26.22,4.15,0.85,0.37,5.0,1.22,2.2,1.1,0.73,0.12,0.12,13.66,7.44,9.27,2.93,23.9,0.98,2.2,0.12,0.12,1.22,1.22,1.83,1.71,1.46,0.12,0.0,0.12,0.0,0.0,0.37,0.24,0.0,0.0,0.12,0.0,0.0,2.68,0.85,1.59,0.73,0.37,1.1,2.68,40.9,1.59,20.73,5.0,24.1,10.49,7.2,3.05,1.95,0.12,0.0,1.71,4.39,1.83,0.0,42.44,2.93,11.95,18.9,14.39,1.71,38.54,0.85,1.34,63.6,0.85,0.24,25.61,140.61,91.71,4.51,1.59,0.49,1.34,1.1,27.93,22.44,80.3,1.83,0.0,1.34,0.73,0.0,0.0,0.0,0.0,6.59,0.37,1.22,23.1
8,197640fd,Timothy Castagne,180,80,Fullback,Right,Leicester City,Premier League,Belgium,-1978.24,Timothy Castagne - -1978.24 - Leicester City,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.06,0.1,0.25,0.04,14.3,0.14,1.0,12.0,0.0,0.15,0.0,0.0,47.44,56.0,84.7,782.39,262.37,23.65,25.68,92.1,20.05,22.94,87.4,3.1,5.39,57.6,0.71,2.89,0.71,0.29,3.46,48.8,7.21,0.46,0.14,6.56,0.46,1.14,0.0,0.0,0.0,0.0,36.74,9.85,9.42,6.17,39.03,3.28,6.74,0.18,0.14,0.5,1.64,1.61,1.61,1.5,0.04,0.0,0.0,0.04,0.04,0.07,0.04,0.0,0.0,0.0,0.04,0.0,2.5,1.32,1.32,0.93,0.25,1.03,2.0,51.8,0.96,14.34,4.1,28.6,5.85,5.81,2.68,1.85,0.25,0.0,1.0,3.5,2.46,0.04,65.96,2.89,19.69,32.32,17.41,1.21,59.0,0.64,1.11,58.1,0.64,0.0,39.45,175.01,94.96,4.67,1.36,0.07,0.82,0.68,47.94,42.31,88.2,2.43,0.0,0.86,0.68,0.07,0.0,0.0,0.0,7.56,1.36,1.32,50.7
9,dc6f5bdd,Calum Chambers,183,77,Fullback,Right,Arsenal,Premier League,England,-1977.38,Calum Chambers - -1977.38 - Arsenal,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.09,0.15,1.03,0.0,0.0,0.0,,15.2,0.0,0.06,-0.07,-0.07,51.62,62.87,82.1,951.84,284.63,21.99,24.34,90.3,23.16,27.13,85.4,5.88,9.71,60.6,0.96,2.72,1.03,0.59,3.38,54.12,8.75,1.1,0.07,5.81,1.1,2.57,0.0,0.0,0.0,0.0,41.47,10.96,10.44,2.94,48.24,2.57,7.65,0.07,0.07,1.03,1.25,1.84,1.47,1.32,0.0,0.07,0.07,0.0,0.0,0.29,0.22,0.0,0.07,0.0,0.0,0.0,1.32,0.66,0.74,0.44,0.15,0.59,1.32,44.4,0.74,10.66,3.38,31.7,5.96,3.24,1.47,2.35,0.51,0.0,1.54,2.87,4.26,0.07,74.19,5.37,27.5,32.35,18.46,2.21,65.59,0.29,0.74,40.0,0.37,0.15,43.6,178.01,102.28,3.53,1.54,0.07,0.66,0.59,48.38,45.15,93.3,1.76,0.0,0.88,0.37,0.15,0.0,0.0,0.0,10.0,2.5,2.06,54.8
