,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won
0,77e84962,Thiago Alcántara,Liverpool,Premier League,172,60,Midfielder,Right,Spain,30.7,Thiago Alcántara - 30.7 - Liverpool,0.1,0.03,0.1,0.0,0.0,0.2,0.0,0.1,0.1,0.11,0.21,1.29,0.4,30.8,0.08,0.25,19.2,0.03,0.08,0.0,0.0,71.51,80.57,88.8,1505.91,405.84,25.14,27.25,92.3,32.2,35.26,91.3,13.18,16.08,82.0,1.25,9.99,1.25,0.07,9.36,78.86,1.71,1.12,0.4,11.44,3.95,0.16,0.0,0.0,0.0,0.0,59.22,8.96,12.39,4.42,71.71,2.64,0.16,0.26,0.2,0.99,2.18,1.19,3.03,2.5,0.03,0.1,0.23,0.03,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,3.53,2.34,1.52,1.45,0.56,0.86,2.41,35.6,1.55,21.06,6.66,31.6,5.77,10.35,4.94,1.29,0.1,0.0,1.91,5.44,1.12,0.07,91.55,2.01,17.89,58.43,21.98,1.38,90.07,0.92,1.55,59.6,0.99,0.03,65.02,287.76,154.99,7.78,3.06,0.3,0.66,0.79,71.97,67.92,94.4,2.01,0.0,2.18,1.58,0.0,0.0,0.0,0.0,12.26,1.88,1.25,60.0
1,cc700722,Allan,Everton,Premier League,173,73,Midfielder,Right,Brazil,30.96,Allan - 30.96 - Everton,0.0,0.04,0.0,0.0,0.0,0.15,0.0,0.01,0.01,0.04,0.05,0.23,0.08,33.3,0.0,0.0,21.3,0.0,0.03,-0.01,-0.01,33.06,41.12,80.4,639.71,196.97,12.36,14.01,88.2,15.17,17.7,85.7,4.72,7.3,64.7,0.73,3.99,0.81,0.12,4.8,39.36,1.77,0.81,0.0,6.72,0.61,0.19,0.0,0.0,0.0,0.0,28.64,4.91,7.56,4.45,34.71,1.11,0.35,0.15,0.23,0.58,1.5,1.27,1.54,1.46,0.0,0.04,0.0,0.04,0.0,0.23,0.19,0.0,0.0,0.0,0.04,0.0,3.15,2.53,1.73,1.23,0.19,1.0,3.84,26.0,2.84,28.84,8.45,29.3,10.94,15.59,2.3,1.69,0.42,0.0,1.61,4.76,1.65,0.0,51.41,3.49,16.51,31.22,7.41,0.35,49.65,0.84,1.34,62.9,0.88,0.04,31.1,180.69,102.33,4.07,1.23,0.12,0.61,0.92,31.98,30.03,93.9,0.69,0.0,1.73,1.04,0.0,0.04,0.0,0.0,10.1,0.46,0.58,44.4
2,ad1f61f3,Steven Alzate,Brighton,Premier League,180,65,Midfielder,Right,Colombia,23.3,Steven Alzate - 23.3 - Brighton,0.19,0.0,0.19,0.0,0.0,0.19,0.0,0.1,0.1,0.04,0.13,0.96,0.38,40.0,0.2,0.5,17.4,0.0,0.1,0.1,0.1,41.17,45.19,91.1,678.26,150.7,21.26,22.6,94.1,13.98,14.94,93.6,4.4,5.17,85.2,1.15,3.06,0.96,0.19,4.21,42.89,2.3,0.19,0.0,6.89,1.15,0.57,0.19,0.0,0.19,0.0,36.38,4.79,4.02,3.64,37.34,1.72,1.72,0.19,0.0,0.38,0.96,0.96,2.11,1.72,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.34,0.96,0.57,0.38,0.38,1.15,33.3,0.77,15.32,4.21,27.5,3.83,6.32,5.17,0.96,0.0,0.0,1.15,3.06,1.72,0.0,53.81,1.91,12.06,29.49,16.85,1.72,51.89,0.38,0.96,40.0,0.57,0.0,39.64,202.21,111.06,5.17,1.72,0.19,0.57,1.34,42.32,36.96,87.3,1.72,0.0,0.96,1.15,0.19,0.0,0.0,0.0,8.43,0.77,1.34,36.4
3,2886c9b5,Shandon Baptiste,Brentford,Premier League,180,75,Midfielder,,Grenada,23.71,Shandon Baptiste - 23.71 - Brentford,0.18,0.0,0.18,0.0,0.0,0.36,0.18,0.07,0.07,0.02,0.11,1.63,0.73,44.4,0.11,0.25,19.0,0.0,0.05,0.11,0.11,23.23,28.13,82.6,393.21,80.38,10.89,12.52,87.0,9.44,10.89,86.7,2.18,3.45,63.2,0.54,2.36,0.73,0.18,1.63,28.13,0.0,0.0,0.0,6.53,0.18,0.73,0.0,0.0,0.0,0.0,20.87,3.99,3.27,3.99,21.59,1.45,0.0,0.18,0.0,0.73,0.73,2.0,1.63,1.09,0.0,0.18,0.18,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.91,0.54,0.73,0.0,0.18,0.18,0.73,25.0,0.54,21.23,7.44,35.0,5.81,9.8,5.63,2.0,0.0,0.0,2.0,2.9,1.27,0.0,40.1,1.81,9.07,21.05,14.52,2.18,40.1,1.45,2.18,66.7,1.45,0.0,27.94,142.98,81.29,4.54,1.81,0.18,2.0,0.73,35.56,24.68,69.4,3.99,0.18,0.54,2.36,0.0,0.0,0.0,0.0,8.89,1.27,1.63,43.8
4,50dc94ce,Donny van de Beek,Manchester Utd,Premier League,181,76,Midfielder,Right,Netherlands,24.68,Donny van de Beek - 24.68 - Manchester Utd,0.13,0.13,0.13,0.0,0.0,0.26,0.0,0.11,0.11,0.22,0.33,0.53,0.26,50.0,0.25,0.5,15.5,0.0,0.21,0.03,0.03,39.68,46.91,84.6,669.94,180.13,19.84,22.34,88.8,15.77,18.0,87.6,3.15,4.34,72.7,0.79,2.89,0.66,0.13,2.63,46.25,0.66,0.39,0.13,7.23,1.18,0.39,0.0,0.0,0.0,0.0,37.97,3.94,4.99,3.68,40.6,1.31,0.13,0.39,0.13,0.53,1.84,0.53,1.71,1.45,0.0,0.13,0.0,0.13,0.0,0.26,0.13,0.0,0.0,0.0,0.13,0.0,2.76,1.71,0.79,1.18,0.79,0.92,2.89,31.8,1.97,17.21,5.78,33.6,4.34,8.93,3.94,0.79,0.26,0.0,1.31,4.07,1.31,0.0,56.89,2.1,14.58,32.06,13.14,2.76,56.37,1.58,2.37,66.7,1.71,0.0,34.55,146.37,74.76,3.81,1.05,0.13,0.92,1.58,46.91,40.2,85.7,3.81,0.0,1.84,1.05,0.0,0.13,0.0,0.0,9.2,1.05,0.66,61.5
5,6c203af0,Yves Bissouma,Brighton,Premier League,181,72,Midfielder,Right,Mali,25.32,Yves Bissouma - 25.32 - Brighton,0.0,0.03,0.0,0.0,0.0,0.28,0.0,0.03,0.03,0.04,0.07,0.99,0.06,6.3,0.0,0.0,24.8,0.06,0.03,-0.03,-0.03,43.6,49.12,88.8,835.34,156.77,16.81,18.7,89.9,20.5,22.11,92.7,5.71,7.1,80.3,0.37,2.95,0.59,0.0,2.92,48.1,1.02,0.9,0.12,6.88,0.96,0.16,0.0,0.0,0.0,0.0,40.88,4.4,3.85,4.87,41.87,1.43,0.09,0.16,0.06,0.47,1.21,1.33,1.36,0.93,0.0,0.12,0.03,0.16,0.12,0.12,0.09,0.0,0.0,0.0,0.03,0.0,3.32,2.11,1.64,1.4,0.28,0.78,1.46,53.2,0.68,15.44,5.21,33.7,6.2,7.51,1.74,1.55,0.22,0.0,2.14,5.46,2.02,0.0,61.06,3.47,17.83,35.79,12.75,0.65,60.17,1.46,2.02,72.3,1.49,0.09,42.36,254.0,119.87,4.56,1.74,0.19,0.93,0.81,42.05,39.94,95.0,0.65,0.0,1.55,1.18,0.0,0.0,0.0,0.0,10.23,0.9,0.43,67.4
6,47369df8,Josh Brownhill,Burnley,Premier League,177,74,Midfielder,Right,,26.02,Josh Brownhill - 26.02 - Burnley,0.0,0.03,0.0,0.0,0.0,0.16,0.0,0.06,0.06,0.05,0.11,1.04,0.28,27.3,0.0,0.0,20.9,0.19,0.05,-0.06,-0.06,27.29,35.54,76.8,453.19,105.69,13.85,16.16,85.7,9.68,12.08,80.1,2.75,5.31,51.8,0.79,2.21,0.63,0.06,2.72,34.63,0.92,0.25,0.03,7.27,0.85,0.66,0.19,0.16,0.0,0.03,20.33,6.2,9.01,3.64,26.82,3.29,0.28,0.19,0.13,0.51,0.85,1.17,1.64,1.26,0.06,0.0,0.06,0.19,0.06,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.3,0.73,0.35,0.82,0.13,0.19,1.04,18.2,0.85,15.18,3.86,25.4,3.57,7.53,4.08,1.49,0.32,0.03,1.83,3.13,1.64,0.0,44.68,2.21,8.06,23.59,14.89,1.96,43.61,0.38,0.63,60.0,0.44,0.0,22.8,100.66,42.75,2.28,0.73,0.22,0.66,0.38,30.04,25.27,84.1,2.94,0.0,1.49,1.17,0.06,0.0,0.0,0.0,10.63,1.61,1.45,52.6
7,7d2d3329,Hamza Choudhury,Leicester City,Premier League,178,77,Midfielder,Right,England,24.24,Hamza Choudhury - 24.24 - Leicester City,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.07,0.07,0.0,0.07,0.75,0.19,25.0,0.0,0.0,19.3,0.0,0.09,-0.07,-0.07,43.6,54.07,80.6,835.45,127.8,17.21,21.33,80.7,19.83,22.64,87.6,5.8,8.23,70.5,0.0,2.99,0.0,0.0,2.25,53.33,0.75,0.37,0.0,5.24,1.5,0.19,0.0,0.0,0.0,0.0,36.86,8.98,8.23,2.99,43.6,5.24,0.37,0.37,0.0,2.43,1.68,1.87,0.56,0.19,0.0,0.0,0.19,0.19,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,3.56,1.87,1.12,2.43,0.0,0.94,2.62,35.7,1.68,18.52,4.86,26.3,4.86,11.6,2.06,2.25,0.37,0.0,2.43,5.99,2.06,0.19,67.92,2.81,18.9,45.65,5.61,0.56,67.17,0.19,0.37,50.0,0.19,0.19,40.42,165.59,60.44,1.5,0.19,0.0,1.68,0.75,49.4,43.97,89.0,0.56,0.0,2.25,1.5,0.0,0.0,0.0,0.0,12.16,2.06,0.94,68.8
8,6cdd8245,Tom Cleverley,Watford,Premier League,175,71,Midfielder,Right,England,32.37,Tom Cleverley - 32.37 - Watford,0.0,0.25,0.0,0.0,0.0,0.12,0.0,0.04,0.04,0.15,0.2,0.62,0.37,60.0,0.0,0.0,28.6,0.0,0.07,-0.04,-0.04,27.56,38.11,72.3,486.74,152.07,12.54,15.02,83.5,10.68,12.91,82.7,3.35,8.44,39.7,1.61,2.61,1.12,0.5,2.73,31.53,6.58,2.36,0.25,5.96,1.24,1.74,3.1,1.86,0.99,0.0,20.61,6.33,11.17,4.97,29.42,2.48,0.37,0.12,0.0,0.5,1.24,0.62,3.1,1.74,0.87,0.0,0.12,0.37,0.0,0.37,0.25,0.12,0.0,0.0,0.0,0.0,2.11,1.49,0.74,0.99,0.37,0.5,1.49,33.3,0.99,17.88,5.71,31.9,3.35,10.06,4.47,1.24,0.62,0.12,1.12,3.23,0.87,0.0,46.18,1.86,8.07,20.11,19.24,0.62,39.85,0.0,0.12,0.0,0.0,0.0,21.72,74.36,31.9,1.12,0.37,0.25,0.74,0.99,33.27,25.45,76.5,2.36,0.0,2.11,0.99,0.25,0.0,0.0,0.0,8.32,0.99,2.61,27.6
9,74e12f1e,Jack Cork,Burnley,Premier League,185,69,Midfielder,Right,England,32.5,Jack Cork - 32.5 - Burnley,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.02,0.02,0.03,0.05,0.39,0.0,0.0,0.0,,20.9,0.0,0.05,-0.02,-0.02,24.99,31.24,80.0,398.26,81.51,13.32,15.72,84.8,8.44,9.62,87.8,2.29,3.86,59.5,0.39,2.29,0.2,0.0,1.61,30.85,0.39,0.05,0.0,6.64,0.68,0.34,0.0,0.0,0.0,0.0,21.77,3.95,5.52,4.1,22.94,1.95,0.24,0.2,0.24,0.49,0.63,0.98,1.02,0.88,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,1.61,0.98,0.39,0.93,0.29,0.63,1.9,33.3,1.27,16.74,5.03,30.0,4.34,8.59,3.81,1.37,0.39,0.0,1.17,2.78,1.56,0.0,39.92,2.1,7.17,24.65,10.25,0.78,39.53,0.39,0.63,61.5,0.49,0.0,22.94,110.35,45.78,2.15,0.88,0.15,0.68,1.07,27.04,22.45,83.0,1.37,0.0,1.71,0.73,0.0,0.0,0.0,0.0,10.2,2.15,1.66,56.4
